1;1;A PRUEBA ACACIAS;Meta;CL 15 No  21  04 COOPERATIVO;CENTRO ACTIVO;Meta;CL 15 No  21  04 COOPERATIVO;,;
2;2;A PRUEBA AUTONORTE;Bogotá D.C;AUTONORTE No  86 65;CENTRO ACTIVO;Bogotá D.C;AUTONORTE No  86 65;,;
3;3;A PRUEBA BARRANQUILLA;Atlántico;CARRERA 46 No  39 02;CENTRO ACTIVO;Atlántico;CARRERA 46 No  39 02;,;
4;4;A PRUEBA BOGOTA ALAMOS;Bogotá D.C;DG 63 F No 88 A 54 P2;CENTRO ACTIVO;Bogotá D.C;DG 63 F No 88 A 54 P2;,;
5;5;A PRUEBA BOGOTA CEDRITOS;Bogotá D.C;CL 147 No 19 58 LC 29;CENTRO ACTIVO;Bogotá D.C;CL 147 No 19 58 LC 29;,;
6;6;A PRUEBA BOGOTA NIZA;Bogotá D.C;AV SUBA No 124 32 LC 32;CENTRO ACTIVO;Bogotá D.C;AV SUBA No 124 32 LC 32;,;
7;7;A PRUEBA CALLE 44;Bogotá D.C;Calle 44 No 54 78;CENTRO ACTIVO;Bogotá D.C;Calle 44 No 54 78;,;
8;8;A PRUEBA CUCUTA CENTRO;Norte de Santander;AV 3 N 17  19 BARRIO LA PLAYA;CENTRO ACTIVO;Norte de Santander;AV 3 N 17  19 BARRIO LA PLAYA;,;
9;9;A PRUEBA ENVIGADO;Antioquia;CR 77C No  52 37;CENTRO ACTIVO;Antioquia;CR 77C No  52 37;,;
10;10;A PRUEBA ESPINAL;Tolima;Calle 11 No 8 63 Barrio Centro;CENTRO ACTIVO;Tolima;Calle 11 No 8 63 Barrio Centro;63.4923935,23.5827965;63 11 -  68700 Kronoby -  Finland
11;11;A PRUEBA IBAGUE;Tolima;Cra 5 Zona Ind El Papayo Cruz Roja;CENTRO ACTIVO;Tolima;Cra 5 Zona Ind El Papayo Cruz Roja;,;
